title_1	year_1	title_2	year_2	rating
the hobbit: the desolation of smaug	2013	the hunger games: catching fire	2013	NOT_OK
rear window	1954	rosemary's baby	1968	OK
let me in	2010	the conjuring	2013	OK
the da vinci code	2006	world trade center	2006	NOT_OK
captain america: the winter soldier	2014	the avengers	2012	OK
12 angry men	1957	the crying game	1992	NOT_OK
batman: bad blood	2016	minions	2015	NOT_OK
back to the future	1985	free willy	1993	NOT_OK
the conjuring	2013	trance	2013	OK
casablanca	1942	spartacus	1960	NOT_OK
nightcrawler	2014	nocturnal animals	2016	OK
spider-man	2002	super 8	2011	OK
armageddon	1998	pitch black	2000	OK
happy death day 2u	2019	us	2019	OK
die hard	1988	hard target	1993	OK
broken arrow	1950	the great dictator	1940	NOT_OK
blade runner	1982	raiders of the lost ark	1981	OK
nights of cabiria	1957	the lady without camelias	1953	OK
rocky	1976	the princess bride	1987	NOT_OK
gone with the wind	1939	stagecoach	1939	OK
goodfellas	1990	the sting	1973	OK
captain america: civil war	2016	spectre	2015	OK
the apartment	1960	the philadelphia story	1940	OK
citizen kane	1941	vertigo	1958	OK
casablanca	1942	the bridge on the river kwai	1957	NOT_OK
cloverfield	2008	despicable me	2010	NOT_OK
her	2013	inside out	2015	NOT_OK
captain marvel	2019	transformers: the last knight	2017	OK
avengers: infinity war	2018	captain america: civil war	2016	OK
avatar	2009	dawn of the planet of the apes	2014	OK
the evil dead	1981	twister	1996	NOT_OK
amadeus	1984	the cider house rules	1999	NOT_OK
m	1931	the avenger	1960	OK
star trek into darkness	2013	the dark knight rises	2012	OK
from the hip	1987	the green mile	1999	NOT_OK
land ho!	2014	the hunt	2012	NOT_OK
singin' in the rain	1952	the apartment	1960	OK
drive	2011	sin city	2005	OK
short term 12	2013	winter sleep	2014	OK
jaws	1975	star wars	1977	NOT_OK
in the tall grass	2019	joker	2019	NOT_OK
in cold blood	1967	the godfather	1972	OK
cimarron	1931	the great dictator	1940	NOT_OK
hero	2002	wing chun	1994	OK
good time	2017	secret in their eyes	2015	OK
the adventures of tintin	2011	transformers	2007	NOT_OK
fury	2014	rush	2013	OK
going places	1974	the passion of joan of arc	1928	NOT_OK
dog day afternoon	1975	goodfellas	1990	OK
district 9	2009	the hunger games	2012	OK
armageddon	1998	red planet	2000	OK
annie hall	1977	when harry met sally...	1989	OK
armageddon	1998	mortal kombat	1995	OK
mad max 2	1981	the terminator	1984	OK
all quiet on the western front	1930	sergeant york	1941	OK
the green mile	1999	the intruder	1999	NOT_OK
quadrophenia	1979	rocky	1976	NOT_OK
foxcatcher	2014	whiplash	2014	OK
amadeus	1984	the straight story	1999	NOT_OK
romola	1924	the birth of a nation	1915	NOT_OK
godzilla	1998	iron eagle on the attack	1995	NOT_OK
citizen kane	1941	double indemnity	1944	OK
g.i. joe: retaliation	2013	man of steel	2013	OK
shazam!	2019	toy story 4	2019	OK
looney tunes: back in action	2003	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
vertigo	1958	wait until dark	1967	OK
king kong	2005	spider-man	2002	OK
the hunt	2012	what maisie knew	2012	OK
brokeback mountain	2005	the big short	2015	NOT_OK
gattaca	1997	the shawshank redemption	1994	NOT_OK
sweeney todd: the demon barber of fleet street	2007	there will be blood	2007	OK
pulp fiction	1994	the shawshank redemption	1994	OK
the da vinci code	2006	universal soldiers	2007	OK
2001: a space odyssey	1968	raiders of the lost ark	1981	OK
pirates of the caribbean: the curse of the black pearl	2003	the matrix reloaded	2003	OK
red sparrow	2018	unlocked	2017	OK
amadeus	1984	dangerous liaisons	1988	OK
a bronx tale	1993	rocky	1976	OK
raiders of the lost ark	1981	star wars	1977	OK
fried green tomatoes	1991	rosemary's baby	1968	NOT_OK
mary and max	2009	the clique	2008	NOT_OK
american ninja 4: the annihilation	1991	mission: impossible	1996	OK
dirty harry	1971	the maltese falcon	1941	OK
12 angry men	1957	modern times	1936	NOT_OK
pacific rim	2013	the hobbit: the desolation of smaug	2013	NOT_OK
hot fuzz	2007	inside man	2006	OK
incredibles 2	2018	toy story 4	2019	OK
city lights	1931	the man who played god	1932	NOT_OK
the motorcycle diaries	2004	the sea inside	2004	OK
despicable me	2010	rango	2011	OK
prometheus	2012	the dark knight rises	2012	OK
all quiet on the western front	1930	the life of emile zola	1937	NOT_OK
princess mononoke	1997	seven samurai	1954	NOT_OK
aquaman	2018	avengers: infinity war	2018	OK
to kill a mockingbird	1962	vertigo	1958	OK
the four horsemen of the apocalypse	1921	the passion of joan of arc	1928	NOT_OK
hercules	1997	pocahontas	1995	OK
metropolis	1927	vampyr	1932	OK
casablanca	1942	citizen kane	1941	OK
raging bull	1980	taxi driver	1976	OK
ponyo	2008	princess mononoke	1997	OK
bardelys the magnificent	1926	the birth of a nation	1915	OK
hacksaw ridge	2016	rush	2013	NOT_OK
rear window	1954	vertigo	1958	OK
a fish called wanda	1988	goodfellas	1990	OK
a nightmare on elm street	1984	beetlejuice	1988	OK
annabelle: creation	2017	the conjuring	2013	OK
captain marvel	2019	star wars: the rise of skywalker	2019	OK
hunter killer	2018	red sparrow	2018	OK
argo	2012	rush	2013	NOT_OK
mad max: fury road	2015	star wars: the force awakens	2015	OK
a separation	2011	osama	2003	OK
dead 7	2016	minions	2015	NOT_OK
blade runner	1982	the dark crystal	1982	NOT_OK
deadpool	2016	the avengers	2012	OK
drive	2011	the girl with the dragon tattoo	2011	OK
citizen kane	1941	rear window	1954	OK
die hard	1988	point break	1991	OK
1917	2019	bram fischer	2017	OK
dawn of the planet of the apes	2014	furious 7	2015	NOT_OK
dirty dancing	1987	the graduate	1967	OK
eaten by lions	2019	jojo rabbit	2019	NOT_OK
children of men	2006	solaris	2002	OK
the machinist	2004	there will be blood	2007	OK
the lives of others	2006	young goethe in love	2010	NOT_OK
life risking romance	2016	parasite	2019	NOT_OK
prometheus	2012	thor: the dark world	2013	OK
pulp fiction	1994	reservoir dogs	1992	OK
cobra	1986	die hard	1988	OK
justice league vs. teen titans	2016	thor: the dark world	2013	OK
mary and max	2009	menashe	2017	OK
good time	2017	pet	2016	NOT_OK
avengers: age of ultron	2015	avengers: infinity war	2018	OK
captain marvel	2019	terminator: dark fate	2019	OK
back to the future	1985	meet the parents	2000	NOT_OK
the lighthouse	2019	wounds	2019	NOT_OK
pretty woman	1990	the goodbye girl	1977	OK
despicable me	2010	x-men	2000	NOT_OK
spider-man: far from home	2019	the lego movie 2: the second part	2019	OK
it's a wonderful life	1946	network	1976	NOT_OK
the birth of a nation	1915	the thief of bagdad	1924	NOT_OK
lady bird	2017	whiplash	2014	OK
bless me, ultima	2013	rush	2013	NOT_OK
american pie	1999	get over it	2001	OK
isle of dogs	2018	toy story 4	2019	NOT_OK
back to the future	1985	the lion king	1994	OK
pocahontas	1995	the lion king	1994	OK
godzilla	1998	virus	1999	OK
inception	2010	mad max: fury road	2015	OK
in the tall grass	2019	the lighthouse	2019	NOT_OK
apocalypse now	1979	stagecoach	1939	NOT_OK
despicable me	2010	monsters university	2013	OK
dracula untold	2014	man of steel	2013	OK
princess mononoke	1997	tokyo godfathers	2003	OK
harold and maude	1971	the graduate	1967	OK
guardians of the galaxy	2014	interstellar	2014	OK
mad max 2	1981	star trek iv: the voyage home	1986	OK
inception	2010	the social network	2010	OK
jurassic park	1993	the terminator	1984	OK
after the sunset	2004	jumanji	1995	NOT_OK
call me by your name	2017	pasolini	2014	OK
pacific rim	2013	skyfall	2012	NOT_OK
l'atalante	1934	the passion of joan of arc	1928	OK
suspect zero	2004	the green mile	1999	OK
pocahontas	1995	star trek: first contact	1996	NOT_OK
idle hands	1999	jumanji	1995	OK
rosemary's baby	1968	sex, lies, and videotape	1989	OK
inglourious basterds	2009	resistance	2003	OK
lore	2012	the pianist	2002	OK
2001: a space odyssey	1968	star wars	1977	OK
blade runner	1982	jaws	1975	NOT_OK
nights of cabiria	1957	the lickerish quartet	1970	OK
halloween	1978	the exorcist	1973	OK
chicago	2002	goodfellas	1990	OK
bats	1999	mission: impossible	1996	NOT_OK
guns akimbo	2019	the lighthouse	2019	NOT_OK
jumanji	1995	without a paddle	2004	OK
life of pi	2012	lucy	2014	NOT_OK
indignation	2016	winter sleep	2014	NOT_OK
furious 7	2015	star trek beyond	2016	OK
pocahontas	1995	the lord of the rings	1978	OK
the grand budapest hotel	2014	the king's speech	2010	OK
goodfellas	1990	the shawshank redemption	1994	OK
blindspotting	2018	good time	2017	OK
the adventures of tintin	2011	the hobbit: the desolation of smaug	2013	OK
her	2013	silver linings playbook	2012	OK
sleep tight	2011	wild tales	2014	NOT_OK
looney tunes: rabbits run	2015	minions	2015	OK
star trek	2009	transformers	2007	OK
django unchained	2012	skyfall	2012	OK
casablanca	1942	the searchers	1956	NOT_OK
captain america: the winter soldier	2014	logan	2017	OK
jurassic park	1993	terminator 2: judgment day	1991	NOT_OK
the blues brothers	1980	zapped!	1982	NOT_OK
apocalypse now	1979	the empire strikes back	1980	NOT_OK
12 angry men	1957	double indemnity	1944	OK
a star is born	2018	green book	2018	OK
marguerite & julien	2015	portrait of a lady on fire	2019	OK
first reformed	2017	i, tonya	2017	NOT_OK
poltergeist	1982	the exorcist	1973	OK
minions	2015	scooby-doo! and kiss: rock and roll mystery	2015	OK
the bourne identity	2002	the da vinci code	2006	OK
ninja assassin	2009	rambo	2008	OK
carrie	1976	the exorcist	1973	OK
jumanji	1995	teen wolf	1985	OK
django unchained	2012	inception	2010	OK
network	1976	rocky	1976	OK
badlands	1973	taxi driver	1976	OK
argo	2012	skyfall	2012	OK
captain america: the first avenger	2011	iron man	2008	OK
shrek	2001	toy story	1995	OK
saw	2004	scream 3	2000	OK
badlands	1973	the godfather	1972	OK
brightburn	2019	us	2019	OK
pretty woman	1990	sweet dreams	1985	OK
ant-man and the wasp	2018	black panther	2018	OK
aliens	1986	innerspace	1987	OK
bridge to terabithia	2007	mary and max	2009	NOT_OK
hellboy	2004	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
american hustle	2013	the grand budapest hotel	2014	NOT_OK
elf	2003	spider-man	2002	NOT_OK
man of steel	2013	thor	2011	OK
pocahontas	1995	star trek generations	1994	NOT_OK
the godfather	1972	to kill a mockingbird	1962	OK
caddyshack	1980	the blues brothers	1980	NOT_OK
mad max 2	1981	star wars	1977	OK
her	2013	the social network	2010	NOT_OK
bicycle thieves	1948	story of a love affair	1950	NOT_OK
it's only the end of the world	2016	portrait of a lady on fire	2019	OK
jurassic world	2015	man of steel	2013	OK
iron man 3	2013	skyfall	2012	OK
battle royale	2000	ran	1985	OK
back to the future	1985	poltergeist	1982	OK
john wick	2014	john wick: chapter 2	2017	OK
among the living	2014	beauty and the beast	2014	NOT_OK
blade runner 2049	2017	the artist	2011	NOT_OK
amadeus	1984	this is spinal tap	1984	NOT_OK
double indemnity	1944	the apartment	1960	NOT_OK
ace ventura: when nature calls	1995	clockstoppers	2002	OK
dawn of the planet of the apes	2014	man of steel	2013	NOT_OK
face/off	1997	twister	1996	NOT_OK
the devil's backbone	2001	the motorcycle diaries	2004	NOT_OK
nanook of the north	1922	the birth of a nation	1915	OK
good time	2017	november criminals	2017	OK
inglourious basterds	2009	the baader meinhof complex	2008	OK
the pianist	2002	u-571	2000	OK
a separation	2011	the song of sparrows	2008	OK
live free or die hard	2007	rambo	2008	OK
godzilla	1954	seven samurai	1954	NOT_OK
mars attacks!	1996	mission: impossible	1996	NOT_OK
die hard	1988	die hard 2	1990	OK
crazy as hell	2002	the green mile	1999	NOT_OK
some like it hot	1959	the philadelphia story	1940	OK
deepstar six	1989	die hard	1988	NOT_OK
it	2017	the jungle book	2016	NOT_OK
furious 7	2015	prometheus	2012	OK
blade runner 2049	2017	shaun the sheep movie	2015	NOT_OK
saw	2004	three way	2004	NOT_OK
gemini man	2019	the lighthouse	2019	OK
aliens	1986	top gun	1986	NOT_OK
beauty and the beast	2014	the rabbi's cat	2011	NOT_OK
fantastic beasts and where to find them	2016	it	2017	OK
barakat!	2006	incendies	2010	OK
nightcrawler	2014	rob the mob	2014	OK
black swan	2010	drive	2011	NOT_OK
mary and max	2009	the last song	2010	NOT_OK
saving private ryan	1998	three kings	1999	OK
innerspace	1987	the terminator	1984	OK
fracture	2007	inside man	2006	OK
portrait of a lady on fire	2019	summertime	2015	OK
passage to marseille	1944	the great dictator	1940	OK
casablanca	1942	north by northwest	1959	OK
boyhood	2014	whiplash	2014	NOT_OK
incredibles 2	2018	spider-man: far from home	2019	NOT_OK
blade runner 2049	2017	virtual revolution	2016	OK
the conjuring	2013	what we do in the shadows	2014	OK
anesthesia	2015	good time	2017	OK
star trek into darkness	2013	star wars: the force awakens	2015	OK
princess mononoke	1997	summer wars	2009	OK
blue velvet	1986	goodfellas	1990	NOT_OK
superman ii	1980	the terminator	1984	OK
despicable me	2010	zombieland	2009	NOT_OK
from here to eternity	1953	gone with the wind	1939	NOT_OK
deadpool	2016	guardians of the galaxy vol. 2	2017	OK
iron man 3	2013	transformers	2007	OK
american pie	1999	josie and the pussycats	2001	OK
beauty and the beast	2014	witch way love	1997	OK
prometheus	2012	the avengers	2012	NOT_OK
annie hall	1977	carrie	1976	NOT_OK
ant-man	2015	star wars: the force awakens	2015	OK
12 angry men	1957	to kill a mockingbird	1962	OK
brokeback mountain	2005	the social network	2010	NOT_OK
silver linings playbook	2012	whiplash	2014	NOT_OK
aliens	1986	the untouchables	1987	NOT_OK
her	2013	the wrestler	2008	NOT_OK
good time	2017	pyewacket	2017	NOT_OK
psycho	1960	rear window	1954	OK
godzilla	1998	highlander: the source	2007	OK
inside man	2006	ronin	1998	OK
goodfellas	1990	raging bull	1980	OK
all quiet on the western front	1930	the life and death of colonel blimp	1943	OK
godzilla	1954	princess mononoke	1997	NOT_OK
pan's labyrinth	2006	the motorcycle diaries	2004	NOT_OK
mulan	1998	pocahontas	1995	OK
rambo	2008	the terminators	2009	OK
downton abbey	2019	joker	2019	NOT_OK
one flew over the cuckoo's nest	1975	the elephant man	1980	OK
child's play 3	1991	jumanji	1995	NOT_OK
calvary	2014	first reformed	2017	OK
ghostbusters	1984	the last starfighter	1984	NOT_OK
five easy pieces	1970	the graduate	1967	OK
dayveon	2017	good time	2017	OK
bohemian rhapsody	2018	rocketman	2019	OK
captain america: civil war	2016	logan	2017	OK
paths of glory	1957	the great dictator	1940	OK
iron man	2008	pirates of the caribbean: the curse of the black pearl	2003	OK
darkest hour	2017	first reformed	2017	NOT_OK
beirut	2018	red sparrow	2018	OK
armageddon	1998	xxx	2002	NOT_OK
john wick	2014	salt	2010	OK
captain america: the first avenger	2011	spectre	2015	OK
it happened one night	1934	some like it hot	1959	OK
a goofy movie	1995	american pie	1999	NOT_OK
lilo & stitch	2002	pirates of the caribbean: the curse of the black pearl	2003	NOT_OK
bullitt	1968	touch of evil	1958	OK
minions	2015	regular show: the movie	2015	OK
avatar	2009	star trek	2009	OK
american graffiti	1973	beetlejuice	1988	OK
superbad	2007	ted	2012	NOT_OK
aftermath	2012	ashes and diamonds	1958	NOT_OK
mulan	1998	the lord of the rings: the return of the king	2003	NOT_OK
12 angry men	1957	citizen kane	1941	OK
frozen	2013	the tale of despereaux	2008	NOT_OK
psycho	1960	wait until dark	1967	OK
pulp fiction	1994	the sting	1973	OK
forrest gump	1994	the shawshank redemption	1994	NOT_OK
the passion of joan of arc	1928	where east is east	1929	NOT_OK
mission: impossible	1996	the viking sagas	1995	NOT_OK
dog day afternoon	1975	the shawshank redemption	1994	OK
monsters, inc.	2001	toy story	1995	OK
soul kitchen	2009	the lives of others	2006	NOT_OK
drive	2011	million dollar baby	2004	OK
deep impact	1998	godzilla	1998	OK
countdown	2019	us	2019	OK
annie hall	1977	breaking away	1979	NOT_OK
aquaman	2018	kong: skull island	2017	OK
escape from new york	1981	raiders of the lost ark	1981	NOT_OK
godzilla	1998	invasion u.s.a.	1985	OK
rush	2013	the imitation game	2014	OK
battle royale	2000	seven samurai	1954	OK
meatballs	1979	the blues brothers	1980	NOT_OK
call me by your name	2017	fat girl	2001	OK
a streetcar named desire	1951	the apartment	1960	OK
rain man	1988	rocky	1976	NOT_OK
stroker ace	1983	the blues brothers	1980	OK
blade runner	1982	innerspace	1987	OK
a streetcar named desire	1951	double indemnity	1944	OK
drive	2011	the town	2010	OK
batman returns	1992	jurassic park	1993	OK
man of steel	2013	prometheus	2012	OK
children of men	2006	rabbit-proof fence	2002	NOT_OK
drive	2011	there will be blood	2007	OK
apocalypse now	1979	raiders of the lost ark	1981	OK
furious 7	2015	live free or die hard	2007	OK
inglourious basterds	2009	munich	2005	OK
minions	2015	wreck-it ralph	2012	OK
avengers: infinity war	2018	logan	2017	OK
edge of tomorrow	2014	the hobbit: the desolation of smaug	2013	NOT_OK
1917	2019	maze runner: the death cure	2018	OK
rush	2013	the post	2017	NOT_OK
american pie	1999	not another teen movie	2001	OK
1917	2019	the mountie	2011	NOT_OK
the grand budapest hotel	2014	three billboards outside ebbing, missouri	2017	OK
mary and max	2009	prom	2011	NOT_OK
the hunger games	2012	the hunger games: catching fire	2013	OK
bonnie and clyde	1967	the godfather	1972	OK
the headless woman	2008	wild tales	2014	NOT_OK
ratatouille	2007	the lord of the rings: the return of the king	2003	NOT_OK
a streetcar named desire	1951	psycho	1960	NOT_OK
cloudy with a chance of meatballs	2009	despicable me	2010	OK
dawn of the planet of the apes	2014	war for the planet of the apes	2017	OK
a nightmare on elm street	1984	ghostbusters	1984	NOT_OK
m	1931	the green archer	1961	OK
bonnie and clyde	1967	the sting	1973	OK
the abyss	1989	twister	1996	OK
default	2018	parasite	2019	OK
captain america: the winter soldier	2014	thor: the dark world	2013	OK
drive	2011	seven psychopaths	2012	NOT_OK
shrek 2	2004	toy story	1995	OK
one flew over the cuckoo's nest	1975	rocky	1976	NOT_OK
psycho	1960	the apartment	1960	NOT_OK
american made	2017	furious 7	2015	OK
the hobbit: the desolation of smaug	2013	world war z	2013	NOT_OK
don't breathe	2016	it	2017	OK
brokeback mountain	2005	juno	2007	OK
all quiet on the western front	1930	the journey	1959	OK
beauty and the beast	2014	nocturama	2016	NOT_OK
fanny	1932	the rules of the game	1939	NOT_OK
harry potter and the prisoner of azkaban	2004	the lord of the rings: the return of the king	2003	OK
absolute power	1997	the green mile	1999	NOT_OK
mary and max	2009	midnight in paris	2011	OK
a streetcar named desire	1951	some like it hot	1959	NOT_OK
dog day afternoon	1975	taxi driver	1976	NOT_OK
bicycle thieves	1948	the hawks and the sparrows	1966	OK
spirited away	2001	tokyo godfathers	2003	OK
beetlejuice	1988	raising arizona	1987	NOT_OK
all the president's men	1976	the sting	1973	OK
bridge of spies	2015	the pianist	2002	OK
atomic blonde	2017	furious 7	2015	OK
all quiet on the western front	1930	for whom the bell tolls	1943	OK
drive	2011	sweeney todd: the demon barber of fleet street	2007	NOT_OK
that man from rio	1964	the passion of joan of arc	1928	NOT_OK
l'atalante	1934	the rules of the game	1939	NOT_OK
the blues brothers	1980	the mutilator	1984	NOT_OK
kung fu panda	2008	the hobbit: the desolation of smaug	2013	NOT_OK
a kid in king arthur's court	1995	ace ventura: when nature calls	1995	OK
man of steel	2013	spectre	2015	NOT_OK
doubt	2008	mary and max	2009	NOT_OK
big momma's house	2000	the green mile	1999	NOT_OK
incendies	2010	the diving bell and the butterfly	2007	NOT_OK
captain america: civil war	2016	guardians of the galaxy	2014	OK
ready player one	2018	spider-man: far from home	2019	OK
it happened one night	1934	it's a wonderful life	1946	OK
mission: impossible	1996	starship troopers	1997	OK
female agents	2008	inglourious basterds	2009	OK
gray lady down	1978	top gun	1986	OK
city lights	1931	the champ	1931	OK
el camino: a breaking bad movie	2019	joker	2019	NOT_OK
ace ventura: when nature calls	1995	son of the pink panther	1993	NOT_OK
captain america: civil war	2016	deadpool	2016	OK
the gold rush	1925	the red mill	1927	OK
aquaman	2018	pirates of the caribbean: dead men tell no tales	2017	OK
bears	2014	frozen	2013	OK
mallrats	1995	the blues brothers	1980	NOT_OK
ghostbusters	1984	phantasm	1979	OK
mulan	1998	titanic	1997	NOT_OK
crank	2006	the da vinci code	2006	OK
rocky	1976	the sting	1973	NOT_OK
2001: a space odyssey	1968	jaws	1975	NOT_OK
john wick	2014	red heat	1988	NOT_OK
bombshell	2019	the lighthouse	2019	NOT_OK
captain america: civil war	2016	star wars: the force awakens	2015	OK
it follows	2014	spider-man	2002	OK
rambo	2008	starship troopers 3: marauder	2008	NOT_OK
go west	1925	the gold rush	1925	OK
the death of stalin	2017	the grand budapest hotel	2014	NOT_OK
inglourious basterds	2009	the red baron	2008	OK
ferris bueller's day off	1986	the blues brothers	1980	OK
minions	2015	scooby-doo! wrestlemania mystery	2014	OK
jojo rabbit	2019	tulip fever	2017	NOT_OK
kung fu panda	2008	transformers	2007	NOT_OK
touch of evil	1958	vertigo	1958	OK
get on up	2014	green book	2018	OK
the skin i live in	2011	wild tales	2014	OK
first reformed	2017	the girl with the dragon tattoo	2011	OK
bonnie and clyde	1967	one flew over the cuckoo's nest	1975	OK
forrest gump	1994	raging bull	1980	NOT_OK
ronal the barbarian	2011	the hunt	2012	NOT_OK
a star is born	1954	some like it hot	1959	OK
call me by your name	2017	three billboards outside ebbing, missouri	2017	NOT_OK
floating weeds	1959	tokyo story	1953	OK
american gangster	2007	inside man	2006	OK
frozen	2013	oz the great and powerful	2013	NOT_OK
an invisible sign	2010	mary and max	2009	OK
annihilation	2018	red sparrow	2018	NOT_OK
the sting	1973	to kill a mockingbird	1962	OK
superman: unbound	2013	thor: the dark world	2013	OK
ace ventura: when nature calls	1995	hot shots!	1991	OK
sweetheart	2019	us	2019	OK
taxi driver	1976	the grifters	1990	NOT_OK
beetlejuice	1988	ferris bueller's day off	1986	NOT_OK
spider-man	2002	spider-man 2	2004	OK
armageddon	1998	universal soldier: the return	1999	OK
jojo rabbit	2019	the peanut butter falcon	2019	OK
a separation	2011	taxi	2015	NOT_OK
casablanca	1942	lifeboat	1944	OK
child's play 2	1990	jumanji	1995	NOT_OK
finding nemo	2003	the lord of the rings: the return of the king	2003	NOT_OK
green book	2018	the killing of a sacred deer	2017	NOT_OK
amores perros	2000	lovers of the arctic circle	1998	OK
armageddon	1998	stealth fighter	1999	NOT_OK
it	2017	prometheus	2012	NOT_OK
jumanji	1995	problem child	1990	NOT_OK
die hard	1988	first blood	1982	OK
the matrix	1999	titanic	1997	OK
